state,state_po,region,candidate,party,republican_votes,democratic_votes,sum_rep_dem_votes,other_votes,total_votes,rep_asperc_allvotes,gdp_2016_millions_dollars,income_pcapita_2016,household_median_income_2016,class_median_income
Alabama,AL,South,"Trump, Donald J.",republican,1318255,729547,2047802,75570,2123372,62%," 190,703.0 "," 39,234 "," 47,221 ",Poor
Alaska,AK,Pacific,"Trump, Donald J.",republican,163387,116454,279841,38767,318608,51%," 52,710.7 "," 56,020 "," 75,723 ",Rich
Arizona,AZ,West,"Trump, Donald J.",republican,1252401,1161167,2413568,159597,2573165,49%," 289,230.4 "," 40,697 "," 57,100 ",Middle
Arkansas,AR,South,"Trump, Donald J.",republican,684872,380494,1065366,65269,1130635,61%," 114,541.2 "," 40,155 "," 45,907 ",Poor
California,CA,West,"Trump, Donald J.",republican,4483810,8753788,13237598,943997,14181595,32%," 2,500,950.4 "," 57,801 "," 66,637 ",Mid-upper
Colorado,CO,West,"Trump, Donald J.",republican,1202484,1338870,2541354,238866,2780220,43%," 316,751.8 "," 52,278 "," 70,566 ",Rich
Connecticut,CT,Northeast,"Trump, Donald J.",republican,673215,897572,1570787,74133,1644920,41%," 242,793.9 "," 69,752 "," 75,923 ",Rich
Delaware,DE,South,"Trump, Donald J.",republican,185127,235603,420730,20860,441590,42%," 63,108.7 "," 48,520 "," 58,046 ",Middle
District of Columbia,DC,South,"Trump, Donald J.",republican,12723,282830,295553,17022,312575,4%," 119,567.3 "," 77,561 "," 70,982 ",Rich
Florida,FL,South,"Trump, Donald J.",republican,4617886,4504975,9122861,297178,9420039,49%," 866,731.0 "," 45,721 "," 51,176 ",Poor
Georgia,GA,South,"Trump, Donald J.",republican,2089104,1877963,3967067,147665,4114732,51%," 498,266.8 "," 42,705 "," 53,527 ",Poor
Hawaii,HI,Pacific,"Trump, Donald J.",republican,128847,266891,395738,41926,437664,29%," 78,905.1 "," 51,051 "," 72,133 ",Rich
Idaho,ID,West,"Trump, Donald J.",republican,409055,189765,598820,91435,690255,59%," 65,535.3 "," 40,683 "," 56,564 ",Middle
Illinois,IL,Midwest,"Trump, Donald J.",republican,2146015,3090729,5236744,299680,5536424,39%," 747,168.0 "," 52,299 "," 61,386 ",Mid-upper
Indiana,IN,Midwest,"Trump, Donald J.",republican,1557286,1033126,2590412,144546,2734958,57%," 316,635.9 "," 43,734 "," 56,094 ",Middle
Iowa,IA,Midwest,"Trump, Donald J.",republican,800983,653669,1454652,110928,1565580,51%," 168,876.4 "," 46,437 "," 59,094 ",Middle
Kansas,KS,Midwest,"Trump, Donald J.",republican,671018,427005,1098023,86379,1184402,57%," 149,927.9 "," 47,517 "," 56,810 ",Middle
Kentucky,KY,South,"Trump, Donald J.",republican,1202971,628854,1831825,92324,1924149,63%," 182,618.6 "," 39,638 "," 45,369 ",Poor
Louisiana,LA,South,"Trump, Donald J.",republican,1178638,780154,1958792,70240,2029032,58%," 228,252.5 "," 42,726 "," 42,196 ",Poor
Maine,ME,Northeast,"Trump, Donald J.",republican,335593,357735,693328,78564,771892,43%," 54,971.0 "," 44,841 "," 50,856 ",Poor
Maryland,MD,South,"Trump, Donald J.",republican,943428,1678006,2621434,160012,2781446,34%," 356,817.6 "," 59,042 "," 73,760 ",Rich
Massachusetts,MA,Northeast,"Trump, Donald J.",republican,1090893,1995196,3086089,292732,3378821,32%," 478,961.0 "," 65,496 "," 72,266 ",Rich
Michigan,MI,Midwest,"Trump, Donald J.",republican,2279543,2268839,4548382,250902,4799284,47%," 452,268.8 "," 44,874 "," 57,091 ",Middle
Minnesota,MN,Midwest,"Trump, Donald J.",republican,1322949,1367705,2690654,254128,2944782,45%," 319,129.9 "," 53,215 "," 70,218 ",Rich
Mississippi,MS,South,"Trump, Donald J.",republican,700714,485131,1185845,23512,1209357,58%," 100,656.5 "," 35,618 "," 41,099 ",Poor
Missouri,MO,Midwest,"Trump, Donald J.",republican,1594511,1071068,2665579,143026,2808605,57%," 275,500.5 "," 44,336 "," 55,016 ",Middle
Montana,MT,West,"Trump, Donald J.",republican,279240,177709,456949,37577,494526,56%," 44,265.4 "," 43,722 "," 57,075 ",Middle
Nebraska,NE,Midwest,"Trump, Donald J.",republican,495961,284494,780455,63772,844227,59%," 110,812.0 "," 49,711 "," 59,374 ",Middle
Nevada,NV,West,"Trump, Donald J.",republican,512058,539260,1051318,74067,1125385,46%," 139,295.5 "," 45,001 "," 55,431 ",Middle
New Hampshire,NH,Northeast,"Trump, Donald J.",republican,345790,348526,694316,49980,744296,46%," 72,815.6 "," 56,482 "," 76,260 ",Rich
New Jersey,NJ,Northeast,"Trump, Donald J.",republican,1601933,2148278,3750211,123835,3874046,41%," 539,942.8 "," 62,727 "," 68,468 ",Mid-upper
New Mexico,NM,West,"Trump, Donald J.",republican,319667,385234,704901,93418,798319,40%," 91,268.3 "," 38,846 "," 48,451 ",Poor
New York,NY,Northeast,"Trump, Donald J.",republican,2819534,4556124,7375658,426426,7802084,36%," 1,389,680.6 "," 61,251 "," 61,437 ",Mid-upper
North Carolina,NC,South,"Trump, Donald J.",republican,2362631,2189316,4551947,189617,4741564,50%," 475,339.0 "," 42,659 "," 53,764 ",Poor
North Dakota,ND,Midwest,"Trump, Donald J.",republican,216794,93758,310552,33808,344360,63%," 51,036.3 "," 52,519 "," 60,184 ",Mid-upper
Ohio,OH,Midwest,"Trump, Donald J.",republican,2841005,2394164,5235169,261318,5496487,52%," 585,088.9 "," 45,043 "," 53,985 ",Poor
Oklahoma,OK,South,"Trump, Donald J.",republican,949136,420375,1369511,83481,1452992,65%," 190,109.7 "," 41,876 "," 50,943 ",Poor
Oregon,OR,West,"Trump, Donald J.",republican,782403,1002106,1784509,216827,2001336,39%," 200,948.2 "," 46,514 "," 59,135 ",Middle
Pennsylvania,PA,Northeast,"Trump, Donald J.",republican,2970733,2926441,5897174,218228,6115402,49%," 689,844.4 "," 51,619 "," 60,979 ",Mid-upper
Rhode Island,RI,Northeast,"Trump, Donald J.",republican,180543,252525,433068,31076,464144,39%," 53,090.7 "," 50,555 "," 61,528 ",Mid-upper
South Carolina,SC,South,"Trump, Donald J.",republican,1155389,855373,2010762,92265,2103027,55%," 195,459.6 "," 40,406 "," 54,336 ",Poor
South Dakota,SD,Midwest,"Trump, Donald J.",republican,227721,117458,345179,24914,370093,62%," 45,685.5 "," 48,621 "," 57,450 ",Middle
Tennessee,TN,South,"Trump, Donald J.",republican,1522925,870695,2393620,114407,2508027,61%," 308,031.6 "," 43,720 "," 51,344 ",Poor
Texas,TX,South,"Trump, Donald J.",republican,4685047,3877868,8562915,406311,8969226,52%," 1,600,260.2 "," 45,654 "," 58,146 ",Middle
Utah,UT,West,"Trump, Donald J.",republican,515211,310674,825885,305432,1131317,46%," 147,414.0 "," 42,385 "," 67,481 ",Mid-upper
Vermont,VT,Northeast,"Trump, Donald J.",republican,95369,178573,273942,46525,320467,30%," 29,362.9 "," 50,795 "," 60,837 ",Mid-upper
Virginia,VA,South,"Trump, Donald J.",republican,1769443,1981473,3750916,231836,3982752,44%," 456,676.4 "," 53,611 "," 66,451 ",Mid-upper
Washington,WA,West,"Trump, Donald J.",republican,1221747,1742718,2964465,352554,3317019,37%," 459,754.3 "," 55,883 "," 70,310 ",Rich
West Virginia,WV,South,"Trump, Donald J.",republican,489371,188794,678165,34886,713051,69%," 68,901.2 "," 36,929 "," 44,354 ",Poor
Wisconsin,WI,Midwest,"Trump, Donald J.",republican,1405284,1382536,2787820,188330,2976150,47%," 290,750.2 "," 47,553 "," 59,817 ",Middle
Wyoming,WY,West,"Trump, Donald J.",republican,174419,55973,230392,28396,258788,67%," 38,052.9 "," 54,617 "," 57,829 ",Middle